연도,분기,지역,60제곱미터 이하,60제곱미터 초과 85제곱미터 이하,85제곱미터 초과
2022,4분기  ,대구  ,490,502,776
2022,4분기  ,광주  ,462,452,698
2022,4분기  ,대전  ,560,524,510
2022,4분기  ,울산  ,806,635,641
2022,4분기  ,세종  ,381,380,0
2022,4분기  ,강원  ,345,398,394
2022,4분기  ,충북  ,352,300,328
2022,4분기  ,충남  ,385,385,386
2022,4분기  ,전북  ,326,337,350
2022,4분기  ,전남  ,0,404,725
2022,4분기  ,경북  ,0,423,455
2022,4분기  ,경남  ,446,453,488
2022,4분기  ,제주  ,766,630,870
2023,1분기  ,서울  ,905,886,0
2023,1분기  ,경기  ,555,469,522
2023,1분기  ,인천  ,528,466,453
2023,1분기  ,부산  ,621,560,490
2023,1분기  ,대구  ,0,0,0
2023,1분기  ,광주  ,0,518,642
2023,1분기  ,대전  ,0,0,0
2023,1분기  ,울산  ,420,423,0
2023,1분기  ,세종  ,0,0,0
2023,1분기  ,강원  ,0,0,0
2023,1분기  ,충북  ,337,321,352
2023,1분기  ,충남  ,205,249,0
2023,1분기  ,전북  ,155,333,370
2023,1분기  ,전남  ,0,387,447
2023,1분기  ,경북  ,449,437,0
2023,1분기  ,경남  ,0,338,0
2023,1분기  ,제주  ,0,483,510
2023,2분기  ,서울  ,987,861,0
2023,2분기  ,경기  ,795,562,463
2023,2분기  ,인천  ,404,511,441
2023,2분기  ,부산  ,726,700,569
2023,2분기  ,대구  ,0,451,0
2023,2분기  ,광주  ,612,703,1013
2023,2분기  ,대전  ,0,0,0
2023,2분기  ,울산  ,0,594,490
2023,2분기  ,세종  ,0,0,0
2023,2분기  ,강원  ,392,390,399
2023,2분기  ,충북  ,0,357,369
2023,2분기  ,충남  ,293,401,406
2023,2분기  ,전북  ,0,357,394
2023,2분기  ,전남  ,0,0,0
2023,2분기  ,경북  ,0,0,0
2023,2분기  ,경남  ,0,305,0
2023,2분기  ,제주  ,0,767,852
2023,3분기  ,서울  ,1119,1150,1287
2023,3분기  ,경기  ,581,515,574
2023,3분기  ,인천  ,504,541,548
2023,3분기  ,부산  ,968,643,1083
2023,3분기  ,대구  ,0,0,0
2023,3분기  ,광주  ,0,512,495
