자치구,단지명,임대유형,주소,전체 세대수,임대 세대수,사용승인일
중랑구,면목2코오롱하늘채,재건축,용마산로 210 면목동 용마산 하늘채,265,9,2015-03-19
서초구,서초포레스타6단지,"영구,국민,장기",청계산로9길 1-12 신원동632 서초포레스타6단지,585,423,2015-04-07
성북구,정릉10구역,재개발,아리랑로19가길 20 정릉동 정릉 꿈에그린아파트,349,60,2015-04-30
서초구,서초포레스타2단지,"국민,장기",헌릉로8길 45 내곡동386 서초 포레스타 2단지,1077,858,2015-05-06
성동구,왕십리텐즈힐1(왕십리뉴타운1),재개발,무학로 33 하왕십리동 텐즈힐,333,333,2015-04-24
마포구,아현4구역(공덕자이),재개발,마포대로26길 22 아현동 공덕자이 아파트,201,201,2015-04-13
양천구,목동센트럴푸르지오,재건축,오목로 354 목동 목동센트럴푸르지오,248,67,2015-06-30
은평구,북한산푸르지오(녹번1-3),재개발,통일로 660 녹번동 북한산푸르지오아파트,1230,155,2015-07-22
강남구,세곡2보금자리지구6단지(임대),"국민,장기",밤고개로26길 50 율현동12 강남 한신휴플러스 6단지,378,234,2015-07-26
강남구,세곡2보금자리지구8단지(임대),"국민,장기",밤고개로27길 20 율현동9 강남 한신휴플러스 8단지,169,114,2015-07-26
서초구,서초선포레,행복(공사 건설형),청계산로9길 1-3 신원동 서초 선포레,87,87,2015-09-12
구로구,천왕이펜하우스 7,행복(공사 건설형),천왕로 21 천왕동 천왕이펜하우스7단지,374,374,2015-10-27
중랑구,신내 의료안심주택,기타임대,신내로16길 33 신내동 신내동 의료안심주택,222,222,2015-08-08
금천구,보린두레주택(금천구 시흥동),기타임대,시흥대로24길 50 시흥동,10,10,2015-08-26
강동구,강일리버파크 11,행복(공사 건설형),고덕로97길 100 강일동 강일리버파크11단지,346,346,2015-10-29
서대문구,신촌푸르지오(북아현1-2),재개발,북아현로1길 50 북아현동아현역푸르지오,940,163,2015-10-23
강서구,등촌장기전세주택,장기전세,공항대로 359 등촌동 리본타워,54,54,2015-11-17
강남구,수서동 721-1 장기전세주택,장기전세,광평로60길 32 수서동 하니움,73,73,2015-01-21
강서구,화곡동 청년 협동조합 주택,기타임대,강서로5라길 26 화곡동 청년주택협동조합그랑,15,15,2015-12-26
마포구,래미안웰스트림(현석2구역),재개발,토정로18길 11 현석동 래미안웰스트림,773,132,2016-01-28
노원구,중계센트럴파크,"국민,장기",덕릉로70가길 21 상계동1322 중계센트럴파크,457,229,2016-01-17
강동구,강일2 준주거2(리엔타운),기타임대,상일로12길 89 강일동 리엔타운,76,76,2016-02-18
서대문구,홍제금호어울림,재건축,모래내로 411 홍제동 홍제금호어울림,296,34,2016-02-15
동작구,상도동효성해링턴플레이스,재건축,상도로 207 상도동 상도효성해링턴플레이스,202,55,2016-02-03
강남구,래미안대치팰리스,재건축,삼성로51길 37 대치동 래미안 대치 팰리스1단지,1608,40,2015-09-26
서대문구,DMC파크뷰자이(가재울4),재개발,가재울미래로 2 남가좌동 DMC파크뷰자이,4300,750,2015-10-26
성동구,신금호파크자이(금호13),재개발,금호로 173 금호동2가 신금호파크자이,1156,198,2016-04-20
양천구,신정제4구역,재개발,중앙로36길 15 신정동 목동힐스테이트,1081,185,2016-05-19
영등포구,래미안프레비뉴(신길11구역),재개발,가마산로 442 신길동 래미안영등포프레비뉴,949,172,2015-12-19
강남구,역삼자이,재건축,언주로 420 역삼동 역삼자이아파트,408,51,2016-06-22
강서구,마곡지구 8단지(임대),"국민,장기",마곡서1로 81 마곡동741 마곡엠밸리8단지,531,265,2016-07-22
강서구,마곡지구 10단지(임대),"국민,장기",마곡중앙1로 72 마곡동747 마곡엠밸리10단지,550,492,2016-08-09
양천구,신정4지구 보금자리주택(임대),"국민,장기",신정로 110 신정동1324 신정숲속마을,560,420,2016-08-14
강서구,마곡힐스테이트,재건축,마곡중앙3로 74 마곡동 마곡힐스테이트,603,59,2015-12-17
동작구,상도두산위브트레지움,재건축,상도로30길 40 상도동 상도2차두산위브트레지움아파트,582,160,2016-01-27
서초구,래미안신반포팰리스,재건축,잠원로8길 35잠원동 래미안 신반포 팰리스 ,843,81,2016-06-07
강동구,올림픽파크한양수자인,재건축,성내로 80 성내동 올림픽파크한양수자인,482,43,2016-08-18
영등포구,보라매신동아파밀리에,재건축,디지털로 420 대림동 신대림2차 신동아파밀리에,247,14,2016-07-29
서초구,아크로리버파크 반포,재건축,신반포로15길 19 반포동 아크로리버파크,1612,85,2016-08-10
동작구,상도파크자이(상도제10구역),재개발,장승배기로11가길 11 상도동 상도파크자이,471,84,2016-08-29
강서구,마곡지구 11단지(임대),"국민,장기",공항대로 124 마곡동746 마곡엠밸리11단지,347,245,2016-07-17
강서구,마곡지구 12단지(임대),"국민,장기",공항대로 140 마곡동746-1 마곡엠밸리12단지,363,269,2016-07-17
성동구,옥수파크힐스(옥수13),재개발,매봉길 50 옥수동 옥수 파크힐스 ,1976,340,2016-11-11
금천구,금천롯데캐슬골드파크1차,재건축,벚꽃로 40 독산동 금천롯데캐슬골드파크1차아파트,1743,183,2016-12-09
노원구,수락리버타운,행복(공사 건설형),누원로 19 상계동,48,48,2016-10-18
성동구,왕십리센트라스(왕십리뉴타운3),재개발,왕십리로 410 하왕십리동 센트라스 ,2529,432,2016-11-30
성북구,돈암정릉,재개발,아리랑로 75 돈암동 돈암코오롱하늘채,629,107,2016-12-29
강동구,고덕래미안힐스테이트,재건축,아리수로50길 50 고덕동 래미안힐스테이트고덕,3658,211,2016-12-30
서대문구,e편한세상신촌아파트(북아현1-3구역),"재개발,행복(리츠2호)",북아현로1가길 20북아현동 e편한세상신촌 1단지 ,2236,326,2016-12-14
성북구,보문3구역(보문파크뷰자이),"재개발,행복(리츠2호)",보문사길 111보문동6가 보문파크뷰자이 ,1186,208,2017-01-18
마포구,마포센트럴아이파크(아현1-3구역),재개발,마포대로 246아현동 아현 I-PARK,497,85,2017-02-24
서초구,래미안서초에스티지,재건축,서운로 107서초동 래미안서초에스티지,421,65,2016-12-23
강북구,꿈의숲 롯데캐슬(미아4구역),"재개발,행복(리츠2호)",오현로 56미아동 꿈의숲 롯데캐슬,615,105,2017-02-27
송파구,송파파크데일 3,행복(공사 건설형),성내천로47길 22 마천동 송파파크데일3단지,148,148,2017-01-09
노원구,녹천역 두산위브(월계4구역),재개발,마들로5길25월계동 녹천두산위브,326,56,2017-02-28
성북구,연극인맞춤형주택(삼선동2가 77),기타임대,삼선동2가 77,11,11,2017-03-10
영등포구,신길7구역,재개발,신풍로 77신길동 래미안에스티움,1722,189,2017-04-12
종로구,경희궁자이(돈의문1구역),"재개발,행복(리츠2호)",송월길 130행촌동 경희궁자이 1단지,496,496,2017-06-30
은평구,은평구 신사동 237-231 산새마을 두레주택(현물출자),기타임대,가좌로11나길 23신사동 은평구 산새마을 두레주택,5,5,2017-07-17
성동구,왕십리자이아파트(하왕1-5구역),"재개발,행복(리츠2호)",난계로 100하왕십리동 왕십리자이,713,126,2017-07-28
동대문구,휘경동 두레주택 조성사업,기타임대,망우로18다길 31-5휘경동,6,6,2017-07-24
영등포구,대림아크로타워스퀘어(영등포1-4구역),"재개발,행복(리츠2호)",국회대로 54길10영등포동7가 아크로타워 스퀘어,1221,200,2017-08-30
구로구,천왕연지마을 1,행복(공사 건설형),오류로 36-13오류동 천왕연지마을1단지,181,181,2017-06-23
구로구,천왕연지마을 2,행복(공사 건설형),오리로 1102-13천왕동 천왕연지마을2단지,138,138,2017-06-23
중랑구,신내3-3 도시형생활주택,행복(공사 건설형),신내역로1길 142신내동 우디안3단지,50,50,2017-09-04
송파구,위례포레샤인23단지,"국민,장기",위례순환로 477장지동 위례포레샤인23단지,2200,2200,2017-08-08
성북구,장위2구역,"재개발,행복(리츠2호)",돌곶이로 220장위동 꿈의숲코오롱하늘채아파트,513,92,2017-10-30
광진구,래미안프리미어팰리스(자양4재정비촉진구역),"재건축,재개발",아차산로 345자양동 래미안프리미어팰리스아파트,264,49,2017-10-31
중구,서울역 센트럴자이(만리2구역),"재개발,행복(리츠2호)",만리재로 175,1341,228,2017-08-07
송파구,송파레미니스1단지,"국민,장기",성내천로 6오금동616 송파레미니스,575,409,2017-11-02
중랑구,e편한세상화랑대,재건축,숙선옹주로 45묵동 e-편한세상화랑대,719,80,2017-05-25
서초구,서초푸르지오써밋,재건축,서운로 201서초동 서초푸르지오써밋 ,907,63,2017-06-22
은평구,힐스테이트백련산4차,재건축,백련산로 37응암동 힐스테이트백련산4차아파트 ,963,30,2017-08-16
영등포구,문래동모아미래도,재건축,선유로9나길 5문래동5가 문래동모아미래도아파트 ,222,23,2017-11-21
강동구,고덕숲아이파크,재건축,고덕로80길 134상일동 고덕숲아이파크 ,687,27,2017-11-29
강서구,가양동 1457-1 모듈러 행복주택,행복(공사 건설형),강서로 515,30,30,2017-11-10
서대문구,북한산 더샵(홍은12구역),재개발,통일로510홍은동 북한산 더샵,552,94,2017-12-15
성동구,힐스테이트서울숲리버(금호제20구역),"재개발,행복(리츠2호)",금호로40금호동4가,606,104,2018-02-19
성동구,금호파크힐스이편한세상아파트(금호제15),"재개발,행복(리츠2호)",금호로 110금호동1가 e편한세상금호파크힐스,1330,137,2018-02-28
송파구,송파레미니스2단지,국민,동남로 341오금동617 송파레미니스 2단지,818,580,2018-04-08
성동구,서울숲리버뷰자이(행당제6구역),"재개발,행복(리츠2호)",고산자로2길 65행당동,1034,176,2018-06-30
동대문구,동대문롯데캐슬노블레스(전농11구역),재개발,답십리로 23길 30전농동,584,100,2018-06-28
동대문구,래미안미드카운티(답십리18구역),재개발,답십리로 141,1009,172,2018-06-01
서초구,반포래미안아이파크(서초한양),행복(재건축),서초중앙로 220반포동32-5 반포래미안아이파크,829,116,2018-07-15
동작구,래미안 로이파크(사당1구역),행복(재건축),사당로 23길 112사당동16 래미안로이파크,668,58,2018-10-30
서초구,래미안서초에스티지S(서초우성2차),행복(재건축),서운로 104서초동 래미안서초에스티지S,593,91,2018-01-24
강남구,삼성동 센트럴 IPARK(상아3차),행복(재건축),삼성로 629삼성동22 센트럴아이파크,416,57,2018-03-30
송파구,거여 리본타운,행복(공사 건설형),오금로53길 14거여동 12-12 거여리본타운,128,128,2017-12-22
동대문구,힐스테이트 청계(대농신안),행복(재건축),동대문구 천호대로55길 11답십리동465 힐스테이트청계,764,114,2018-06-29
중랑구,신내3-4 도시형생활주택,행복(공사 건설형),중랑구 신내역로 160신내동 신내3,289,289,2018-07-23
구로구,천왕지구 8단지,행복(공사 건설형),구로구 금오로882천왕동 산19-1,298,298,2018-03-09
구로구,고척동 156,"장기,행복(공사 건설형)",구로구 고척로52나길25고척동156 고척리본타운,39,39,2018-03-15
마포구,마포자이3차아파트(염리2구역),"재개발,행복(리츠2호)",마포구 숭문길 98염리동 45,927,160,2018-09-28
은평구,힐스테이트녹번(녹번제1-1구역),"재개발,행복(리츠2호)",은평구 통일로610녹번동21-269,952,182,2018-10-10
서초구,반포센트럴푸르지오써밋(삼호가든4차),행복(재건축),서초구 고무래로 89반포동 30-20 반포센트럴푸르지오써밋,764,130,2017-09-21
구로구,항동보금자리주택지구8단지(임대),국민,구로구 서해안로2036항동218 항동하버라인,384,384,2018-10-30
동작구,아크로리버하임(흑석7구역),"재개발,행복(리츠2호)",동작구 현충로 52흑석동 아크로리버하임,1073,162,2018-11-26
동작구,에듀포레아파트(흑석8구역),"재개발,행복(리츠2호)",동작구 서달로 123흑석동 232-55,545,94,2018-11-23
광진구,강변SK뷰,재건축,광진구 아차산로 431구의동 667,197,20,2017-07-14
은평구,래미안베라힐즈아파트(녹번1-2구역),"재개발,행복(리츠2호)",은평구 통일로 630녹번동 21-134,1305,258,2018-12-30
서대문구,홍제센트럴아이파크아파트(홍제2구역),"재개발,행복(리츠2호)",서대문구 통일로 395홍제동 156,906,182,2018-12-30
성북구,연극인맞춤형주택(성북동 186-12),기타임대,성북구 성북로9길 28성북동 186-12,12,12,2018-05-11
종로구,종로구 충신동 연극인 두레주택 6호점,기타임대,종로구 충신4길 28-3 충신동 1-198,4,4,2018-06-15
종로구,종로구 충신동 연극인 두레주택 4호점,기타임대,종로구 충신4길 31-24 충신동 1-136,4,4,2018-06-15
동대문구,답십리파크자이아파트(답십리14구역),"재개발,행복(리츠2호)",동대문구 답십리로56길 105답십리동 25,802,140,2019-01-23
은평구,은뜨락(서울리츠1호),행복(리츠1호),은평구 통일로 972진관동 235-28,350,350,2019-03-15
성북구,래미안센터피스아파트(길음2구역),"재개발,재건축,행복(리츠2호)",성북구 숭인로 50길음동 498-1,2352,633,2019-02-25
영등포구,신길센트럴아이파크(신길14구역),"재개발,행복(리츠2호)",영등포구 가마산로426신길동 347-50,612,111,2019-02-27
성북구,래미안아트리치아파트(석관2구역),"재개발,행복(리츠2호)",성북구 돌곶이로 8길 22석관동 46-50,1091,187,2019-02-27
구로구,항동보금자리지구3단지(임대),국민,구로구 항동로 43항동 171-4,1170,438,2019-02-25
구로구,항동 하버라인 9단지,행복(공사 건설형),구로구 항동로68항동 136-1,298,298,2019-02-22
구로구,항동 하버라인 10단지(임대),행복(공사 건설형),구로구 항동로 60항동 135-57,297,297,2019-02-22
구로구,항동 하버라인 11단지,행복(공사 건설형),구로구 연동로 191-5항동 184,276,276,2019-02-22
양천구,이든채(서울리츠1호),행복(리츠1호),양천구 신정로7길 75신정동 1320-8,499,499,2019-02-28
송파구,송파헬리오시티(가락시영),행복(재건축),송파구 송파대로 345가락동 479,9510,1401,2018-12-28
은평구,응암역효성해링턴플레이스(신사19),행복(재건축),은평구 가좌로 334신사동 372,380,22,2018-07-31
서초구,신반포자이(반포한양),행복(재건축),서초구 평창길 75잠원동 66,607,71,2018-07-31
강남구,래미안개포루체하임(일원동현대),행복(재건축),개포로 110길 50일원동 689-1,850,50,2018-11-30
강남구,래미안블레스티지(개포주공2단지),행복(재건축),강남구 선릉로 8개포동 140,1957,112,2019-02-28
종로구,종로구 충신동 연극인 두레주택 2호점,기타임대,종로구 충신4길 18충신동 1-232,6,6,2018-06-15
용산구,용산롯데캐슬센터포레(효창5구역),"재개발,행복(리츠2호)",용산구 백범로 313효창동 13-2,478,82,2019-04-24
종로구,종로구 충신동 연극인 두레주택 1호점,기타임대,종로구 충신길 80-4충신동 1-66,5,5,2018-06-15
종로구,종로구 충신동 연극인 두레주택 5호점,기타임대,종로구 충신4길 31-22충신동 1-139,4,4,2018-06-15
동대문구,휘경 SK VIEW아파트(휘경2구역)_재개발,"재개발,재건축,행복(재건축,리츠2호)",동대문구 휘경로 60휘경동 128-12,900,174,2019-05-30
성북구,포레카운티아파트(장위1구역),"재개발,행복(리츠2호)",성북구 장월로 160장위동 144-24,939,162,2019-06-19
관악구,e편한세상 서울대입구(봉천12-2)_재개발,"재개발,행복(재건축,리츠2호)",관악구 청룡10길 45봉천동 1555-1,1489,294,2019-06-25
구로구,항동보금자리지구4단지(임대),국민,구로구 항동로 72항동 84일원,297,107,2019-05-31
종로구,종로구 충신동 연극인 두레주택 3호점,기타임대,종로구 충신4길 17-15충신동 1-239,3,3,2018-06-15
은평구,이룸채(서울리츠1호),행복(리츠1호),은평구 통일로1045진광동 48,630,630,2019-06-27
구로구,항동보금자리지구2단지(임대),국민,구로구 연동로234항동 118-20,646,252,2019-07-15
은평구,백련산SK VIEW IPARK아파트(응암10구역),"재개발,행복(리츠2호)",은평구 응암로30길 16응암동 417-5,1305,226,2019-08-29
강북구,꿈의숲 효성해링턴플레이스(미아9-1),행복(재건축),강북구 오현로 45미아동 3-770,1028,88,2019-09-30
성북구,퍼스트하이아파트(장위5구역),"재개발,행복(리츠2호)",성북구 한천로 713장위동 173-124,1562,276,2019-09-27
서초구,방배아트자이(방배3),행복(재건축),서초구 명달로 9길 57방배동 992,353,41,2018-10-29
서초구,"래미안 신반포 리오센트(신반포18,24차)",행복(재건축),서초구 잠원로 14길 32잠원동 52,475,71,2019-06-21
강남구,디에이치 아너힐즈(개포주공3),행복(재건축),강남구 삼성로 11개포동 138 외,1320,85,2019-08-29
강동구,래미안 명일역 솔베뉴(삼익그린),행복(재건축),강동구 양재대로 1650명일동 309-1,1900,156,2019-06-26
강동구,고덕 그라시움(고덕2),행복(재건축),강동구 동남로82길 98고덕동 220,4932,140,2019-10-31
강서구,e편한세상 염창(염창1),행복(재건축),강서구 공항대로 583염창동 277-24,499,56,2019-03-08
동작구,e편한세상 상도 노빌리티(상도대림),행복(재건축),동작구 만양로 6상도동 903,893,5,2018-12-03
은평구,백련산파크 자이(응암3),행복(재건축),은평구 백련산로67응암동626-53,678,4,2019-02-25
서대문구,연희파크 푸르지오(연희1),행복(재건축),서대문구 홍제천로136연희동 747,396,35,2018-12-31
서대문구,DMC 센트럴 아이파크(남가좌1),행복(재건축),서대문구 증가로 150남가좌동 388,1061,47,2018-12-31
중랑구,신내 글로리움,행복(공사 건설형),중랑구 신내로 208신내동 640,229,229,2019-07-09
성북구,롯데캐슬 골든힐스(길음3),행복(재건축),성북구 서경로 60정릉동 192,399,40,2019-01-31
마포구,마포 웨스트리버 태영데시앙(마포창전1),행복(재건축),마포구 서강로3길 32창전동 27-19,276,9,2019-02-28
마포구,신촌숲 아이파크(신수1),행복(재건축),마포구 광성로 17신수동 93-102,1015,98,2019-08-29
서대문구,북한산 두산위브(홍은14구역),"재개발,행복(리츠2호)",서대문구 홍은중앙로3길 9홍은동19-19,497,75,2019-11-29
동대문구,한양수자인 사가정파크(면목1),행복(재건축),중랑구 사가정로72길 26면목동 520-19,497,36,2019-11-30
노원구,상계역센트럴푸르지오(상계4)_재개발,"재개발,행복(재건축,리츠2호)",노원구 수락산로 12상계동 85-33,810,152,2019-12-30
서대문구,DMC에코자이(가재울6구역),"재개발,행복(리츠2호)",서대문구 거북골로84남가좌동 224-1,1047,178,2019-12-27
영등포구,보라매 SK VIEW(신길5구역),"재개발,행복(리츠2호)",여의대방로35가길 19신길동 1583-1,1546,286,2020-01-29
서대문구,래미안루센티아(가재울5),"재개발,행복(리츠2호)",거북골로 100남가좌동175,997,170,2020-02-21
동작구,학수복합(서울리츠2호),행복(리츠2호),사당로27길 215사당3동 177-1,7,7,2020-01-28
강동구,푸르내(서울리츠1호),행복(리츠1호),상일로12길 95강일동 730-2,119,119,2020-01-31
강동구,힐스테이트 강동 리버뷰,재건축,올림픽로91길30암사동 675,460,147,2019-11-12
동대문구,휘경해모로 프레스티지(휘경1구역),"재개발,행복(리츠2호)",외대역등로1길 60-3휘경동 243,299,51,2020-02-26
서대문구,어바니엘 위드 더 스타일 충정로,역세권청년,경기대로 26-26충정로3가 72-1,49,49,2020-01-17
마포구,신촌그랑자이(대흥2구역),"재개발,행복(리츠2호)",대흥로29길 41-10대흥동 12,1248,216,2020-02-21
영등포구,신길센트럴자이(신길12구역),"재개발,행복(리츠2호)",영등포구 신길로 29길17신길동 337-246,1008,184,2020-03-08
노원구,인덕아이파크(월계2),행복(재건축),노원구 초안산로 21라길26월계동 633-31,859,69,2019-11-07
강동구,고덕센트럴아이파크(고덕5),행복(재건축),강동구 고덕로80길 99상일동 131,1745,96,2019-12-30
강동구,롯데캐슬베네루체(고덕7),행복(재건축),강동구 상암로79길 88상일동 187,1859,97,2019-12-30
송파구,잠실올림픽공원아이파크(풍납우성),행복(재건축),송파구 올림픽로 43길 34풍납동 388-7,697,95,2019-11-14
동대문구,동대문더퍼스트데시앙(장안동연립단지),행복(재건축),동대문구 장한로27가길 37장안동587,469,23,2019-10-22
성북구,정릉 하늘마루,행복(공사 건설형),성북구 정릉로10가길 6-31정릉동 894-22,166,166,2020-03-26
성동구,U-삼진랜드,역세권청년,성동구 천호대로 416용답동 233-1,22,22,2020-03-02
양천구,목동센트럴아이파크위브(신정1-1구역),"재개발,행복(리츠2호)",양천구 남부순환로83길17184847신월동 565-5,3045,542,2020-03-27
광진구,옥산 그린타워,역세권청년,광진구 구의강변로 53구의동 587-64,18,18,2020-04-06
은평구,백련산해모로(응암11),"재개발,행복(리츠2호)",은평구 응암로 30길15응암동 452-27,760,114,2020-02-21
마포구,서교동 효성해링턴 타워,역세권청년,마포구 양화로 72서교동 395-43,199,199,2020-04-23
관악구,e편한세상 서울대입구2차(봉천12-1구역),"재개발,행복(리츠2호)",관악구 참숯1길 19봉천동 1544-1,519,89,2020-04-29
영등포구,당산센트럴아이파크(상아현대),행복(재건축),영등포구 영신로247당산동5가4-24-13,802,87,2020-04-28
은평구,녹번역이편한세상캐슬(응암2구역),"재개발,행복(리츠2호)",은평구 은평로 220응암동 36,2569,390,2020-05-19
송파구,E편한세상송파파크센트럴(거여2-2구역)_재개발,"재개발,행복(재건축,리츠2호)",송파구 오금로 551송파구 거여동 234번지,1199,227,2020-06-26
은평구,DMC롯데캐슬더퍼스트(수색4구역),"재개발,행복(리츠2호)",은평구 수색로 320-8수색동 36-10,1192,203,2020-06-30
서대문구,힐스테이트신촌(북아현1-1)_재개발,"재개발,행복(재건축,리츠2호)",서대문구 이화여대8길 123,1226,234,2020-08-04
중랑구,사가정센트럴아이파크(면목3),행복(재건축),동일로 92길 40면목동 164-10,1505,163,2020-07-30
영등포구,e편한세상 보라매2차(대림3),행복(재건축),영등포구 신길로29영등포구 대림동 917-49,859,55,2020-07-28
용산구,용산센트럴파크 헤링턴스퀘어(국제4구역),"재개발,행복(리츠2호)",서빙고로 17한강로3가 63-70,1140,194,2020-08-20
마포구,공덕SK리더스뷰(마포로6구역)_재개발,"재개발,재건축,행복(재건축,리츠2호)",백범로31길 8공덕동 257-3,166,144,2020-08-30
영등포구,힐스테이트 클래시안(신길9구역),재개발,영등포구 신길로28길9신길동240-16,1476,266,2020-09-25
송파구,위례포레샤인18단지,장기전세,송파구 위례북로4길 12송파구 거여동 648,685,685,2020-10-28
강동구,고덕강일공공주택지구4단지(임대),"국민,장기",강동구 아리수로93가길 110강일동 114번지,1239,597,2020-08-28
양천구,신정 파크샤인,행복(공사 건설형),목동남로4길 100신정동 163-36,101,101,2020-10-28
강서구,아임2030,역세권청년,공항대로59가길 14등촌동 648-5,19,19,2020-05-01
