공고명,공고시작일,공고종료일,공고등록일
화성동탄(2) 도시지원시설용지 공급공고,2022-10-07,2022-10-07,2022-09-23
화성동탄(2) 유치원용지 공급공고,2022-10-07,2022-10-07,2022-09-23
화성동탄(2) 근린생활용지 및 근린상업용지 공급공고,2022-10-07,2022-10-07,2022-09-23
화성동탄(2) 주거전용 단독주택용지 재공급공고(D33),2022-10-07,2022-10-07,2022-09-23
화성동탄(2) 점포겸용 단독주택용지 재공급공고(D20),2022-10-07,2022-10-07,2022-09-23
다산신도시(지금지구) 업무용지 공급 사전 안내,2022-09-14,2022-09-30,2022-09-14
"다산신도시 지금지구 상업,주차장용지('22.6.28.공고분) 개찰결과",2022-07-12,2022-12-31,2022-07-12
"동탄2, 광주역세권, 고덕국제화계획지구 3분기 사전공급안내",2022-07-01,2022-12-31,2022-07-01
광교택지 근린생활시설용지 개찰결과 및 계약체결안내((2022.6.17.공고분),2022-06-28,2022-12-31,2022-06-28
광주역세권 준주거용지 개찰결과 및 계약체결안내((2022.6.17.공고분),2022-06-28,2022-12-31,2022-06-28
"다산신도시 지금지구 상업,주차장용지 공급 공고",2022-06-28,2022-12-31,2022-06-28
광교택지 근린생활시설용지 재공급공고,2022-06-17,2022-12-31,2022-06-17
광주역세권 도시개발사업 준주거용지 공급공고(C5),2022-06-17,2022-12-31,2022-06-17
가평달전 단독주택용지 수의계약 공고,2022-06-10,2022-12-31,2022-06-10
다산 지금지구 업무시설용지(2022.5.25.공고분) 개찰결과,2022-06-08,2022-12-31,2022-06-08
가평달전 도시개발사업 단독주택용지 추가공급 개찰결과 공지,2022-05-25,2023-05-23,2022-05-25
다산신도시 지금지구 업무시설용지 공급공고,2022-05-25,2022-06-16,2022-05-25
가평달전 도시개발사업 단독주택용지 추가 공급공고,2022-05-13,2022-12-31,2022-05-13
화성동탄(2) 근린생활시설용지 및 근린상업용지 재공급공고,2022-04-29,2025-04-29,2022-04-29
"화성동탄(2) 점포겸용 단독주택용지 재공급공고(D20,D21)",2022-04-29,2025-04-29,2022-04-29
