사업지구명,블록명,위치,공급유형,세대수,준공예정일
울산다운2(08국민),A-3,울산광역시 중구 다운동 울산 중구 울주군,통합공공임대,445,2027-12-31
울산다운2(08국민),A-7,울산광역시 중구 다운동 울산 중구 울주군 다운동 일대,영구임대,400,2026-12-31
울산다운2(08국민),A-7,울산광역시 중구 다운동 울산 중구 울주군 다운동 일대,행복주택,300,2026-12-31
울산다운2(08국민),A-1,울산광역시 중구 다운동 울산 중구 울주군,영구임대,148,2026-12-14
판교창조경제밸리,G6,경기도 성남시 수정구 경기 성남시 수정구,행복주택,195,2027-06-30
의왕초평(뉴스테이),A-4,경기도 의왕시 경기 의왕시,통합공공임대,381,2027-09-30
과천주암(뉴스테이),A1,경기도 과천시 경기 과천시 주암동,행복주택,386,2027-06-30
과천주암(뉴스테이),C1,경기도 과천시 경기 과천시 주암동,공공분양,932,2028-11-30
과천주암(뉴스테이),C1,경기도 과천시 경기 과천시 주암동,행복주택,406,2028-11-30
과천주암(뉴스테이),C2,경기도 과천시 경기 과천시 주암동,공공분양,686,2028-02-28
과천주암(뉴스테이),C2,경기도 과천시 경기 과천시 주암동,행복주택,344,2028-02-28
고양장항,A-2,경기도 고양시 일산동구 장항동 경기 고양시 일산동구,공공분양,371,2026-04-30
고양장항,A-2,경기도 고양시 일산동구 장항동 경기 고양시 일산동구,행복주택,279,2026-04-30
고양장항,A-6,경기도 고양시 일산동구 장항동 경기 고양시 일산동구,행복주택,915,2028-09-30
고양장항,S-1,경기도 고양시 일산동구 장항동 경기 고양시 일산동구,공공분양,869,2027-12-31
고양장항,S-2,경기도 고양시 일산동구 장항동 경기 고양시 일산동구,통합공공임대,945,2027-05-31
대구국가산단2단계,A7-1,대구광역시 달성군 구지면 대구 대구,행복주택,448,2027-12-31
수원당수,A5,경기도 수원시 권선구 당수동,공공분양,484,2027-01-31
수원당수,A5,경기도 수원시 권선구 당수동,행복주택,242,2027-01-31
수원당수,B2,경기도 수원시 권선구 당수동 440전 일원,분양주택(이익공유형),347,2028-06-30
수원당수,B3,경기도 수원시 권선구 당수동,공공분양,394,2028-12-31
김해진례,C1,경상남도 김해시 진례면 송정리,공공분양,387,2028-03-31
김해진례,C1,경상남도 김해시 진례면 송정리,공공임대(6년),339,2028-03-31
김해진례,B1,경상남도 김해시 진례면 송정리,공공임대(6년),382,2028-03-31
