공고명,공고시작일,공고종료일,공고등록일
[주택]매입임대주택 22년 미임대 1차 모집공고('22.08.19) 당첨자 발표,2022-11-28,2022-11-28,2022-11-28
다산 포레스트 2단지 국민임대주택 입주자 모집 신청 마감 안내,2022-11-28,2022-11-28,2022-11-28
다산 메트로3단지 국민임대주택 51A형 예비입주자 모집 공고(2022.11.25.),2022-12-06,2022-12-08,2022-11-25
다산 진건A5 포레스트 2단지 영구임대주택 입주자 모집 공고,2022-12-05,2022-12-09,2022-11-21
[주택]22년 하반기 청년형매입임대 신청접수 최종경쟁률 게시,2022-11-21,2022-11-21,2022-11-21
장기전세주택 당첨자 발표(고양 대곡역 두산위브),2022-11-08,2022-11-08,2022-11-08
다산 센트럴파크6단지 국민임대주택 추가 및 예비입주자 모집 당첨자 발표 일정 연기 안내('22.06.27.공고),2022-11-07,2022-12-31,2022-11-07
[수정] 다산 진건A5 포레스트 2단지 국민임대주택 입주자 모집 공고,2022-11-21,2022-11-23,2022-10-31
22년 하반기 청년매입임대주택 1순위 접수 결과에 따른 모집 완료 주택 안내,2022-10-21,2022-10-21,2022-10-21
[마감] 기존주택 매입임대주택 입주자 수시모집('22년 3차),2022-10-28,,2022-10-21
다산 지금A1 및 진건A1블록 영구임대주택 입주자격완화 모집공고,2022-11-07,2022-11-11,2022-10-21
경기리츠1호(진건B1블록 및 지금A2블록) 장기전세주택 추가모집 당첨자발표 및 계약체결 일정 연기 안내,2022-10-14,2022-10-14,2022-10-14
다산 메트로3단지 국민임대주택 추가 및 예비입주자 서류제출대상자 발표,2022-10-06,2022-10-06,2022-10-06
(정정공고) 청년 매입임대주택 (예비)입주자모집(2022년 하반기),2022-10-11,2022-10-14,2022-09-30
다산 메트로3단지 국민임대주택 추가 및 예비입주자 모집 마감 안내,2022-09-28,2022-09-28,2022-09-28
장기전세주택 당첨자 발표(의정부 탑석센트럴자이),2022-09-23,2022-09-23,2022-09-23
"남양주 지금2힐스테이트, 남광신우부영7단지 장기전세주택 서류제출 대상자 발표",2022-09-13,2022-09-13,2022-09-13
(마감)안성공도 국민임대주택 예비입주자 모집 공고,2022-09-26,2022-09-28,2022-09-08
다산메트로3단지 국민임대주택 추가 및 예비입주자 모집 공고,2022-09-27,2022-09-29,2022-09-07
"매입임대주택 22년 상반기 청년 예비입주자 모집(22.04.08 공고) 관련 2,3순위 결과 발표",2022-08-26,2022-12-31,2022-08-26
‘22년 매입임대주택 미임대 (1차) 입주자 모집,2022-08-19,2022-12-31,2022-08-19
"(마감)남양주 지금2힐스테이트, 남광신우부영7단지 장기전세 입주자 및 예비입주자 모집공고",2022-08-19,2022-12-31,2022-08-19
"(수정) 수원시,안양시 아동동거가구 모집공고(‘22.04.29) 당첨자 및 예비입주자 순위 발표",2022-08-12,2022-12-31,2022-08-12
경기리츠1호(진건B1블록 및 지금A2블록) 장기전세주택 추가모집 서류제출대상자 발표,2022-08-09,2022-12-31,2022-08-09
안산 이편한세상 초지역센트럴포레 장기전세주택 예비입주자 모집 결과 발표,2022-07-29,2022-12-31,2022-07-29
의왕 더샵캐슬 장기전세주택 예비입주자 모집 결과 발표,2022-07-29,2022-12-31,2022-07-29
(수정) 지구 철거민 우선 장기전세주택 입주자 모집공고(고양 대곡역두산위브),2022-07-29,2022-12-31,2022-07-29
경기리츠1호(진건B1블록 및 지금A2블록) 장기전세주택 추가 입주자 및 예비자 모집 마감 안내,2022-07-26,2022-12-31,2022-07-26
안성공도 국민임대주택 예비입주자 당첨자 명단 게시,2022-07-25,2022-12-31,2022-07-25
다산 센트럴파크6단지 및 메트로3단지 영구임대주택 추가입주자 동호배정 결과 발표,2022-07-22,2022-12-31,2022-07-22
안성공도 국민임대주택 예비입주자 당첨자 명단 게시,2022-07-22,2022-12-31,2022-07-22
다산 메트로3단지 영구임대주택 추가 및 예비입주자 재공지,2022-07-21,2022-12-31,2022-07-21
다산 센트럴파크6단지 및 메트로3단지 영구임대주택 추가 및 예비입주자 당첨자 발표,2022-07-15,2022-12-31,2022-07-15
다산지금 A1블록(센트럴파크6단지) 영구임대주택 추가 및 예비입주자 모집 공고(정정),2022-07-14,2022-12-31,2022-07-14
경기리츠1호(진건B1블록 및 지금A2블록) 장기전세주택 추가 입주자 및 예비자 모집공고,2022-07-13,2022-12-31,2022-07-13
다산신도시 자연앤푸르지오 공공분양 무순위(사후) 입주자 모집공고,2022-07-06,2022-12-31,2022-07-06
다산센트럴파크6단지 국민임대주택 추가 및 예비입주자 모집 공고,2022-06-27,2022-12-31,2022-06-27
매입임대주택 22년 하반기 청년 예비입주자 모집(22.04.08 공고) 관련 1순위 결과 발표,2022-06-10,2022-12-31,2022-06-10
장기전세주택(의정부 탑석센트럴자이) 서류제출 대상자 발표,2022-06-02,2022-12-31,2022-06-02
2022년 경기주택도시공사 기존주택전세임대 입주대상자 선정 안내,2022-05-31,2022-12-31,2022-05-31
수원광교 공공실버 영구임대주택 당첨자 및 예비입주자 발표,2022-04-29,2022-05-06,2022-04-29
의정부 탑석센트럴자이 장기전세 입주자격완화 입주자 및 예비입주자 모집공고,2022-04-29,2023-04-28,2022-04-29
"수요맞춤형(수원시, 안양시 아동동거가구) 기존주택 매입임대주택 입주자모집 공고",2022-04-29,2023-04-29,2022-04-29
다산 센트럴파크6단지 국민임대주택 당첨자 및 예비입주자 발표,2022-04-15,2022-04-22,2022-04-15
청년 매입임대주택 예비입주자 모집(2022년 상반기),2022-04-08,2023-04-28,2022-04-08
(마감)기존주택 매입임대주택 입주자 수시모집('22년 2차),2022-03-25,2024-03-25,2022-03-25
다산메트로3단지 국민임대주택 당첨자 및 예비입주자 발표,2022-03-23,2022-03-25,2022-03-23
"(마감) 안산 e편한세상초지역, 의왕 더샵캐슬 장기전세 예비입주자 모집 공고",2022-03-22,2023-03-22,2022-03-22
다산 지금A1 및 진건A1블록 영구임대주택 추가 및 예비입주자 모집 공고,2022-03-18,2022-04-08,2022-03-18
안성공도 국민임대주택 예비입주자 모집공고,2022-03-11,2022-04-30,2022-03-11
용인죽전 및 용인영덕 경기행복주택 입주자 모집공고,2022-03-04,2022-12-31,2022-03-04
"파주병원복합 경기행복주택, 가평청사복합 경기행복주택선착순 모집공고",2022-03-04,2022-08-31,2022-03-04
장기전세주택 당첨자 및 예비입주자 발표(의정부 탑석센트럴자이),2022-02-17,2023-02-17,2022-02-17
(재공고) 성남판교 경기행복주택 일반형 임대상가 임차인 모집,2022-02-17,2023-02-17,2022-02-17
수원광교 공공실버 영구임대주택 입주자 및 예비입주자 추가모집,2022-02-10,2022-02-18,2022-02-10
2022년 기존주택전세임대 입주자 모집공고(일반),2022-02-04,2022-02-18,2022-02-04
안양 석수두산위브 장기전세주택 예비입주자 모집 결과 발표,2022-01-28,2023-01-27,2022-01-28
(경기도 내 10개시) ‘22년 1차 기존주택 매입임대 예비입주자 모집,2022-01-25,2023-01-24,2022-01-25
경기도체육회관 공유재산(지하식당) 운영 임대사업자 선정 재공고,2022-01-25,2023-01-24,2022-01-25
매입임대주택 21년 하반기 청년 예비입주자 모집(21.09.10 공고) 관련 2·3순위 결과 발표,2022-01-17,2023-01-16,2022-01-17
남양주 지금2힐스테이트 장기전세주택 예비입주자 모집 결과 발표,2022-01-14,2023-01-13,2022-01-14
(마감)기존주택 매입임대주택 입주자 수시모집(‘22년 1차),2022-01-14,2023-12-31,2022-01-14
[안양 냉천지구 주거환경개선사업] 안양 어반포레 자연앤 e편한세상 공동주택(국민 및 민영주택) 입주자모집공고,2022-01-14,2022-03-16,2022-01-14
다산 메트로3단지 국민임대주택 예비입주자 2순위 모집시행 결과,2021-11-24,2021-11-25,2021-11-24
다산 메트로3단지 국민임대주택 예비입주자 1순위 모집시행 결과,2021-11-23,2021-11-24,2021-11-23
경기리츠1호 지금A2블록 전 타입 모집마감,2021-11-19,2022-11-19,2021-11-19
안성공도 국민임대주택 예비입주자 당첨자 명단 게시,2021-11-19,2022-11-19,2021-11-19
경기리츠1호(진건B1블록 및 지금A2블록 59A) 1순위 모집마감,2021-11-18,2021-11-18,2021-11-18
다산메트로3단지 국민임대주택 예비입주자 모집공고,2021-11-11,2022-11-11,2021-11-11
다산지금A4블록 자연앤푸르지오 공공분양주택 분양가상한제 가산비 공시,2021-10-28,2022-10-28,2021-10-28
[수정]광주역 자연앤자이 주택 가산비 공시,2021-10-26,2021-12-31,2021-10-26
안성공도 국민임대주택 예비입주자 당첨자 명단 게시,2021-07-30,2021-12-31,2021-07-30
백동KCC스위첸 장기전세주택 예비입주자 모집 결과 발표,2021-06-04,2022-06-03,2021-06-04
다산진건 B4블록 자연앤이편한세상 공공분양주택 해약세대(1호) 공급 공고,2021-05-18,2021-05-31,2021-05-18
안성공도 국민임대주택 입주자격완화 예비입주자 모집공고,2021-05-13,2021-05-31,2021-05-13
하남풍산 참아름 국민임대주택(49형) 예비입주자 모집공고,2021-05-10,2021-08-27,2021-05-10
다산신도시 진건지구 A1블록 국민임대주택 추가 및 예비입주자 모집공고(20210415),2021-04-19,2021-06-08,2021-04-19
다산신도시 지금지구 A1블록 국민임대주택 추가 및 예비입주자 모집공고(20210415),2021-04-19,2021-06-08,2021-04-19
(수정-장기전세) 부천 백동KCC스위첸 예비입주자 모집 공고(모집 완료),2021-03-12,2021-12-31,2021-03-12
다산신도시 지금A1블록 및 진건A1블록 영구임대주택 추가 및 예비입주자 모집공고,2021-03-17,2021-04-02,2021-03-17
"공공분양주택 단지내상가 개찰결과 안내(""21. 3.11 입찰분)",2021-03-11,2021-03-31,2021-03-11
다산지금A1블록 영구임대주택 예비당첨자 동호추첨 발표,2021-03-03,2021-03-31,2021-03-03
"공공주택 단지내상가 분양공고(다산진건B4블록 자연앤이편한세상, 위례A2-2블록 자연앤센트럴자이)",2021-02-25,2021-03-11,2021-02-25
안성공도 국민임대주택 예비입주자 당첨자 명단 게시,2021-02-05,2021-02-26,2021-02-05
다산신도시 지금A1블록 및 진건A1륵 동호수 추첨 결과 발표,2021-01-08,2021-12-31,2021-01-08
다산지금A1블록 및 진건A1블록 영구임대주택 당첨자 및 예비당첨자 발표,2020-12-31,2021-12-31,2020-12-31
안성공도 국민임대주택 입주자격완화 예비입주자모집공고,2020-11-30,2021-11-30,2020-11-30
다산진건 A1블록 국민임대주택 입주자모집공고,2020-11-17,2020-12-31,2020-11-17
다산진건 A1블록 영구임대주택 입주자모집공고,2020-09-21,2020-10-14,2020-09-21
다산지금 A1블록 영구임대주택 입주자모집공고,2020-09-21,2020-10-14,2020-09-21
다산진건 A4블록 공공임대아파트 예비입주자 당첨자 명단 게시,2020-09-16,2021-09-15,2020-09-16
다산신도시 지금지구 A1블록 국민임대주택 입주자모집공고,2020-08-27,2099-12-31,2020-08-27
다산신도시 10년 공공임대아파트(자연앤이편한세상3차) 예비입주자 모집공고,2020-08-13,2020-09-30,2020-08-13
안성공도 참아름 아파트 국민임대 예비입주자 모집공고,2020-07-06,2021-07-06,2020-07-06
다산진건 A4블록 분납임대 잔여세대 당첨자 및 예비입주자 명단 게시,2020-06-03,2020-12-31,2020-06-03
다산신도시 자연앤이편한세상3차 분납임대주택 잔여세대 모집 마감,2020-05-25,2020-06-03,2020-05-25
다산진건지구 A4블록 분납임대주택 잔여세대 모집공고,2020-05-14,2022-05-13,2020-05-14
안성공도 참아름아파트 국민임대주택 예비입주자 모집공고,2020-05-14,2023-05-13,2020-05-14
평택 고덕신도시 A9블록 자연앤자이 잔여세대 추가 입주자모집공고,2019-12-12,2019-12-19,2019-12-12
하남풍산 참아름 아파트 국민임대주택 1순위 예비입주자 접수결과안내,2019-12-06,2019-12-21,2019-12-09
하남풍산 국민임대주택 예비입주자 모집공고,2019-11-26,2019-12-31,2019-11-26
안성공도 국민임대주택 예비입주자 모집공고,2019-11-11,2019-12-31,2019-11-11
"지금2힐스테이트, 다산센트레빌 장기전세주택 예비입주자 당첨자 발표",2019-11-08,2019-11-10,2019-11-08
김포한강신도시 자연앤이편한세상3단지 예비입주자 당첨자 발표,2019-10-18,2019-12-31,2019-10-18
하남풍산 참아름아파트 예비입주자 당첨자 발표,2019-10-15,2019-10-31,2019-10-15
안성공도 국민임대주택 예비입주자 모집공고,2019-09-18,2019-09-30,2019-09-18
김포한강 공공임대주택 호수마을 자연앤e편한세상 3단지 모집 접수 결과,2019-08-30,2019-12-31,2019-08-30
김포한강 공공임대주택 호수마을 자연앤e편한세상 3단지 예비입주자 모집공고,2019-08-21,2019-12-31,2019-08-21
다산신도시 지금A-4블록 자연&푸르지오 일반공급 당첨 최저금액 알림,2019-08-21,2019-08-31,2019-08-21
광주역세권 A1블록 자연&자이 일반공급 당첨 최저금액 알림,2019-08-21,2019-08-31,2019-08-21
(정정공고) 다산신도시 자연&푸르지오 입주자모집 정정공고,2019-08-07,2019-08-31,2019-08-07
다산신도시 자연&푸르지오 입주자모집공고,2019-07-25,2019-12-31,2019-07-25
광주역 A1블록 자연&자이 입주자모집공고,2019-07-25,2019-12-31,2019-07-25
안성공도 국민임대주택 예비입주자 모집공고,2019-05-31,2019-06-14,2019-05-31
하남풍산 국민임대주택 예비입주자 모집 공고,2019-05-14,2019-05-16,2019-05-08
안성공도 국민임대주택 예비입주자 모집 공고,2019-03-21,2019-03-31,2019-03-21
안성공도 국민임대주택 예비입주자 모집 공고,2018-11-09,2018-12-31,2018-11-09
다산신도시 진건B3 블록 자연&자이 일반공급 당첨 최저금액 알림,2019-01-14,2019-01-31,2019-01-14
수원광교 공공실버(영구임대)주택 공가세대 입주자 추가모집 공고 ,2019-01-08,2019-01-31,2019-01-08
 다산진건지구 B3블록 자연&자이 입주자모집공고 ,2018-12-27,2019-01-31,2018-12-27
김포한강호수마을 자연앤이편한세상 예비입주자 당첨자 결과,2018-11-09,2018-12-31,2018-11-09
안성공도 국민임대주택 예비입주자 모집 공고,2018-09-17,2018-12-31,2018-09-17
김포한강호수마을 자연앤이편한세상 예비입주자 모집접수 결과,2018-09-12,2018-12-31,2018-09-12
김포한강 공공임대주택 호수마을자연앤e편한세상 3단지 예비입주자 모집공고,2018-09-04,2018-12-31,2018-09-04
안성공도 국민임대주택 예비입주자 모집 공고,2018-07-30,2018-12-31,2018-07-30
"부천(백동kcc, 약대아이파크) 장기전세주택 예비입주자 당첨자 발표",2018-06-26,2018-12-31,2018-06-26
[평택시]기존주택 매입임대 예비입주자 모집,2018-06-22,2018-12-31,2018-06-22
[안성시]기존주택 매입임대 예비입주자 모집,2018-06-22,2018-12-31,2018-06-22
[이천시]기존주택 매입임대 예비입주자 모집,2018-06-22,2018-12-31,2018-06-22
수원광교 공공실버주택 입주자 모집 공고,2018-06-22,2018-12-31,2018-06-22
[양주시]기존주택 매입임대 예비입주자 모집,2018-06-22,2018-12-31,2018-06-22
[수원시]기존주택 매입임대 예비입주자 모집,2018-06-22,2018-12-31,2018-06-22
안양두산석수위브(장기전세주택) 예비입주자(2순위) 모집 마감 안내,2018-05-18,2018-12-31,2018-05-18
안성공도 국민임대주택(5단지) 예비입주자 모집 공고(정정),2018-05-15,2018-12-31,2018-05-15
안양두산석수위브(장기전세주택) 예비입주자 모집공고,2018-05-11,2018-12-31,2018-05-11
"김포한강신도시 자연엔이편한세상3단지 84 C, E, F형 예비입주자 당첨자 발표",2018-05-11,2018-12-31,2018-05-11
안성공도 국민임대주택(5단지) 예비입주자 모집 공,2018-05-10,2018-12-31,2018-05-10
김포한강신도시 자연앤 이편한세상3단지 예비입주자 모집 마감,2018-03-22,2018-03-30,2018-03-22
김포한강 공공임대주택 호수마을자연앤e편한세상 3단지 예비입주자 모집공고,2018-03-14,2018-12-31,2018-03-14
다가구 등 장기미임대 매입임대주택 입주대상 최종 선정자 명단,2018-03-06,2018-12-31,2018-03-06
안성공도 국민임대주택 예비입주자 모집 공고,2018-03-08,2018-03-12,2018-02-26
"부천(백동kcc, 약대아이파크) 장기전세주택 예비입주자모집 1순위 마감 안내",2018-02-21,2018-12-31,2018-02-21
동탄 레이크 자연& 푸르지오 잔여세대 추가 입주자 모집공고,2017-12-07,2017-12-31,2017-12-07
동탄2신도시 A86블록 ‘동탄 레이크 자연& 푸르지오’ 특별공급 접수 결과 및 일반공급 최저？최고금액 알림,2017-11-09,2017-12-31,2017-11-09
김포한강 공공임대주택 호수마을자연앤e편한세상 3단지 예비입주자 모집 마감 안내,2017-10-26,2017-12-31,2017-10-26
김포한강 공공임대주택 호수마을자연앤e편한세상 3단지 예비입주자 모집공고,2017-10-18,2017-12-31,2017-10-18
"동탄2신도시 A86블록 ""동탄 레이크 자연&푸르지오"" 입주자 모집공고",2017-10-25,2017-12-31,2017-10-25
안성공도 국민임대주택 예비입주자모집,2017-06-01,2017-06-14,2017-06-01
김포한강 공공임대 자연&이편한세상 3단지 예비입주자 당첨자 발표,2017-04-05,2017-06-30,2017-04-05
평택 고덕신도시 A9블럭 일반공급 당첨 최저금액 알림,2017-03-23,2017-12-31,2017-03-23
평택 고덕신도시 A9블록 특별공급 접수 결과 안내,2017-03-16,2017-12-31,2017-03-16
평택 고덕신도시 A-9블럭 자연& 자이 입주자모집공고,2017-03-09,2017-12-31,2017-03-09
다산신도시 진건지구 A-4블록 자연&e편한세상3차 공공임대주택 입주자모집공고,2017-02-22,2017-12-31,2017-02-22
김포한강 공공임대주택 호수마을자연앤e편한세상 3단지 예비입주자 모집 마감 안내,2017-02-23,2017-04-30,2017-02-23
김포한강 공공임대주택 호수마을자연앤e편한세상 3단지 예비입주자 모집공고,2017-02-15,2017-04-30,2017-02-15
안양석수 두산위브 장기전세주택 예비입주자 추가모집 마감안내 (1순위 마감완료),2017-01-05,2017-12-31,2017-01-05
안양 석수 두산위브 예비입주자 추가 모집공고,2016-12-26,2017-12-31,2016-12-26
다산진건공공주택지구 B-5블록 자연&e편한세상2차 공공분양주택 입주자모집공고,2016-11-24,2016-12-31,2016-11-24
안성공도 국민임대주택 예비입주자 모집 안내,2016-10-24,2016-12-31,2016-10-24
하남풍산 국민임대주택 예비입주자 모집 안내,2016-10-10,2016-10-20,2016-10-10
김포양촌 자연앤 미분양주택 공급대상 추가,2016-07-22,2016-12-31,2016-07-22
파주당동 자연앤꿈에그린 미분양 주택 공급 완료,2016-07-05,2017-01-31,2016-07-05
김포양촌 자연앤데시앙 잔여세대 입주자 공급공고,2016-06-27,2016-12-31,2016-06-28
김포한강 공공임대 자연&이편한세상 3단지 예비입주자 당첨자 발표,2016-06-23,2016-07-31,2016-06-23
김포장기 분양전환주택 공가세대[1호] 일반분양 입주자 모집공고,2016-05-30,2016-06-22,2016-05-30
김포한강 공공임대주택 예비입주자모집 마감 안내,2016-05-25,2016-05-25,2016-05-25
김포한강 공공임대주택 자연앤e편한세상 3단지 예비입주자 모집공고,2016-05-17,2016-06-30,2016-05-17
안성공도 국민임대 예비입주자 모집 안내,2016-04-27,2016-05-13,2016-04-27
안성공도 국민임대 예비입주자 모집 안내,2016-04-07,2016-04-18,2016-04-07
남양주지금2지구 힐스테이트재건축입주자모집공고관련안내,2016-03-23,2016-07-14,2016-03-23
하남풍산 국민임대주택 예비입주자 모집 안내,2016-03-10,2016-03-22,2016-03-10
안성공도 국민임대주택 예비입주자 모집 안내(1순위 마감 완료) ,2016-02-26,2016-03-12,2016-02-26
다산신도시 진건S1블록 예비당첨자(동호수) 배정 발표,2016-01-15,2018-12-31,2016-01-15
김포한강임대주택예비입주자선정명단,2015-11-25,2015-12-31,2015-11-25
다산신도시 진건지구 S1블록(자연앤 e편한세상 자이) 일반공급 당첨자 명단 발표(특별공급 동호수 추첨 포함),2015-11-25,2015-12-31,2015-11-25
다산신도시 진건지구 S1블록(자연앤 e편한세상 자이) 특별공급 당첨자 발표,2015-11-17,2015-11-17,2015-11-17
다산진건공공주택지구 S-1블록 자연&e편한세상자이 공공분양주택 입주자모집공고,2015-11-05,2018-12-31,2015-11-05
다산신도시 진건지구 S1블록 사전청약자 안내문-본청약 안내,2015-10-29,2016-10-28,2015-10-29
파주당동 자연앤꿈에그린 잔여세대 입주자 선착순 모집 재공고,2015-10-20,2015-11-30,2015-10-20
파주당동 자연앤꿈에그린 잔여세대 입주자 선착순 모집공고,2015-10-19,2015-11-30,2015-10-19
김포한강임대주택 예비입주자모집 공고문 안내,2015-10-16,2015-11-30,2015-10-16
다산신도시 진건 B-2블록 자연&롯데캐슬 입주자추가모집공고,2015-07-28,2015-08-31,2015-07-28
다산신도시 진건 B-4블록 자연&e편한세상 입주자추가모집공고,2015-07-07,2015-12-31,2015-07-07
「위례A2-2BL 자연&자이e편한세상」예비당첨자 공급(최초) 일정 안내,2015-01-05,2015-01-15,2015-01-05
다산진건공공주택지구 B-4블럭 자연&e편한세상 사전예약 당첨자 및 특별공급 당첨자 발표,2015-04-24,2015-12-31,2015-04-24
다산진건 공공주택지구 B-2블록 자연& 롯데캐슬 사전예약 당첨자 및 특별공급 당첨자 발표,2015-04-27,2015-04-30,2015-04-27
다산진건 B-2블록 자연& 롯데캐슬 당첨자 명단 발표,2015-05-12,2015-12-31,2015-05-12
다산진건 B-4블록 자연&e편한세상 당첨자 명단 발표,2015-05-11,2015-12-31,2015-05-11
"다산진건공공주택지구 B-2블록 자연&롯데캐슬, B-4블록 자연&e편한세상 공공분양주택 입주자모집공고",2015-04-15,2015-04-30,2015-04-15
"(정정안내) 남양주 다산진건공공주택지구 B-2, B-4블록 본청약 안내",2015-04-09,2015-04-22,2015-04-09
다산신도시 진건 B-2블록 자연&롯데캐슬 예비당첨자 공급안내,2015-06-17,2015-12-31,2015-06-17
다산신도시 주택전시관 방문제한 안내,2015-04-21,2015-04-22,2015-04-21
위례신도시 A2-2블록 자연&자이e편한세상 공공분양주택 입주자모집공고 정정공고,2014-11-10,2014-11-20,2014-11-10
위례A2-2BL 자연&자이e편한세상 당첨자 명단 발표,2014-11-26,2015-03-31,2014-11-26
위례 자연&자이e편한세상 특별공급 경쟁률,2014-11-18,2014-12-31,2014-11-18
(수정공고)위례 자연&자이e편한세상 특별공급 당첨자 발표,2014-11-18,2014-12-31,2014-11-18
위례A2-2BL 공공분양주택 자연&자이e편한세상 특별공급 청약접수현황위례A2-2BL 공공분양주택 자연&자이e편한세상 특별공급 청약접수현황,2014-11-14,2014-12-31,2014-11-14
안성공도 국민임대주택 예비입주자 모집 마감안내,2014-08-26,2014-09-26,2014-08-27
안성공도 국민임대주택 예비입주자 모집,2014-08-18,2014-12-31,2014-08-18
"아파트 잔여 단지(광교, 용인구갈, 용인동백) 내 상가 수의계약 공고",2014-06-20,2014-12-19,2014-06-23
아파트 잔여 단지내상가 분양공고,2014-06-05,2014-06-20,2014-06-05
(재수정)김포한강 자연&e편한세상 공공임대아파트 보육시설 임차운영자 모집공고,2014-05-13,2014-05-23,2014-05-13
하남풍산 참아름아파트 예비입주자 모집마감안내(49㎡),2014-02-18,2014-05-30,2014-02-18
광교 자연앤힐스테이트 아파트 잔여 단지내상가 재공급 공고,2014-03-25,2014-06-05,2014-03-25
광교 자연앤힐스테이트 잔여 단지내상가 분양 공고,2014-03-11,2014-03-30,2014-03-11
김포한강 공공임대 추가모집 당첨자 명단,2014-02-10,2014-03-31,2014-02-10
[고양시] ‘14년 매입임대주택 입주자 모집공고,2014-02-18,2014-05-31,2014-02-18
하남풍산 참아름 국민임대주택 예비입주자 모집,2014-02-06,2014-06-30,2014-02-06
김포한강 공공임대 입주자 추가모집 공고,2014-01-28,2014-03-31,2014-01-28
위례 자연&래미안e편한세상 예비당첨자 동·호수 추첨 안내,2014-01-10,2014-03-31,2014-01-10
김포한강추가모집 당첨자발표,2013-12-24,2014-01-08,2013-12-24
위례 자연&래미안e편한세상 예비당첨자 동호수 추첨 결과 발표,2013-12-19,2014-03-31,2013-12-20
위례 자연앤래미안이편한세상 예비당첨자 동호추첨 일정 등 안내,2013-12-13,2014-01-31,2013-12-13
김포한강신도시 Ab-02블록 10년 공공임대주택 입주자 추가모집,2013-12-04,2014-01-31,2013-12-04
안성공도 국민임대주택 예비입주자 모집,2013-11-29,2014-03-07,2013-11-29
위례 자연&래미안e편한세상 당첨자 발표,2013-11-19,2013-11-30,2013-11-19
위례 자연앤래미안이편한세상 특별공급 당첨자발표,2013-11-11,2013-11-30,2013-11-11
김포장기 공공임대(5년)주택 예비입주자 모집,2013-11-08,2014-01-10,2013-11-08
위례신도시 A2-11블록 자연& 래미안 e편한세상 입주자모집공고,2013-10-30,2014-02-27,2013-10-30
안성공도 국민임대주택 예비입주자 모집,2013-03-13,2013-04-01,2013-03-13
화성동탄 공공임대(5년)주택 예비입주자 모집,2012-10-22,2012-10-31,2012-10-22
부천소새울 KCC스위첸아파트 입주자모집 공고,2012-10-17,2012-10-29,2012-10-17
안성공도 국민임대주택 예비입주자 모집,2012-09-24,2012-10-11,2012-09-24
안성공도 국민임대주택 예비입주자 모집 공고,2012-08-21,2012-12-31,2012-08-21
용인구갈3지구 강남마을자연앤 단지내 상가 재입찰 공고,2012-05-22,2012-05-29,2012-05-22
광교 LH공공임대주택 특별공급 입주자모집공고 일정 등 안내,2012-05-07,2012-08-29,2012-05-07
남양주진접 자연앤아파트 수의계약 모집 정정공고,2012-04-30,2012-12-31,2012-04-30
파주당동 자연&아파트 단지내 상가 재입찰 공고,2012-04-20,2012-05-02,2012-04-20
안성공도 국민임대주택 예비입주자 모집(수정공고),2012-03-16,2012-03-30,2012-03-16
남양주 진접 자연& 공공분양 아파트 수의계약 공고,2012-03-14,2012-12-31,2012-03-14
안성공도 국민임대주택 예비입주자 모집,2012-03-14,2012-03-30,2012-03-14
용인흥덕 자연&스위첸 공공분양 아파트 입주자 추가공급 공고,2012-03-14,2012-03-22,2012-03-14
남양주진접 자연& 공공분양 아파트 입주자 재공급 공고,2012-03-06,2012-03-13,2012-03-06
재건축소형임대아파트 입주자모집 공고(광명 해모로 이연아파트) ,2011-08-16,2011-08-18,2011-07-13
김포한강 자연& 이편한세상 아파트 입주자 모집 공고 ,2011-05-27,2011-06-08,2011-05-27
남양주진접 자연& 공공분양 아파트 입주자 추가 모집공고,2011-05-06,2011-05-13,2011-05-06
남양주진접 자연& 공공분양 아파트 입주자 추가 모집공고,2011-04-05,2011-04-14,2011-04-05
안성공도 국민임대주택 예비입주자모집,2011-03-14,2011-03-31,2011-03-14
안성공도 국민임대주택 예비입주자 모집 공고 ,2010-10-28,2010-11-18,2010-10-28
남양주진접 자연& 아파트 입주자 추가 모집,2010-09-16,2010-09-28,2010-09-16
김포장기 자연& 아파트 입주자 추가모집,2010-09-16,2010-09-28,2010-09-16
석수한신 재건축소형임대주택 입주자 모집 공고 ,2010-09-03,2010-09-30,2010-09-03
안성공도 국민임대주택 예비 입주자 모집,2010-05-31,2010-06-17,2010-05-31
fdsaf,2010-04-15,2010-04-15,2010-04-15
용인동백지구 써미트빌 입주자 모집공고 정정사항 공고,2003-11-06,2023-11-27,2010-04-13
화성 동탄 자연& 아파트 미분양세대 공급안내,2005-07-01,2005-09-01,2010-04-13
화성 동탄 자연& 아파트 입주자 모집공고,2005-07-01,2005-09-01,2010-04-13
화성 동탄 자연@ 잔여세대 입주자 공고,2005-07-01,2005-09-01,2010-04-13
동탄 자연& 미분양세대 공급 공고,2005-08-15,2005-08-19,2010-04-13
동탄 자연& 해약세대 공급공고,2005-09-13,2005-06-13,2010-04-13
동탄 자연@아파트 해약 및 미분양세대 추가 공급안내,2005-11-07,2005-11-07,2010-04-13
"광교 A13,A14,A15블록 자연앤자이 입주자 모집안내",2010-01-08,2010-01-20,2010-01-08
한강신도시 자연앤 e편한세상 입주자 모집안내,2009-12-29,2010-12-31,2009-12-29
한강신도시 자연앤힐스테이트 입주자 모집안내,2009-12-11,2010-12-31,2009-12-11
광교 A12블록 자연앤 힐스테이트 공공분양주택 입주자 모집,2009-12-10,2009-12-31,2009-12-10
