연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2022-09,전북,284,73,(△211),486,1382,2.84
2022-09,전남,954,67,(△887),1200,1300,1.08
2022-09,경북,544,24,(△520),754,798,1.06
2022-09,경남,1311,1359,1.04,1552,11944,7.70
2022-10,부산,866,3092,3.57,186,6346,34.12
2022-10,대구,806,20,(△786),889,246,(△643)
2022-10,인천,849,61,(△788),570,539,(△31)
2022-10,광주,63,31,(△32),68,75,1.10
2022-10,대전,1119,372,(△747),1128,3130,2.77
2022-10,울산,412,6,(△406),334,122,(△212)
2022-10,경기,4020,5685,1.41,4068,20838,5.12
2022-10,강원,394,99,(△295),417,2936,7.04
2022-10,충북,0,0,0.00,1019,33,(△986)
2022-10,충남,4046,920,(△3126),2839,6548,2.31
2022-10,전북,860,80,(△780),994,1975,1.99
2022-10,전남,124,12,(△112),120,116,(△4)
2022-10,경북,325,13,(△312),420,196,(△224)
2022-10,경남,0,0,0.00,55,7,(△48)
2022-10,제주,0,0,0.00,93,402,4.32
2022-11,서울,1724,8081,4.69,5106,28520,5.59
2022-11,대구,55,4,(△51),50,13,(△37)
2022-11,광주,130,12,(△118),252,120,(△132)
2022-11,대전,1763,7187,4.08,1646,54060,32.84
2022-11,울산,402,14,(△388),309,128,(△181)
2022-11,경기,3021,1568,(△1453),3223,15354,4.76
2022-11,강원,467,33,(△434),841,1425,1.69
2022-11,충남,975,95,(△880),1450,2693,1.86
2022-11,전북,230,6,(△224),339,115,(△224)
2022-11,전남,111,0,(△111),121,3,(△118)
2022-11,경북,197,53,(△144),231,909,3.94
2022-11,경남,572,2204,3.85,701,20646,29.45
2022-11,제주,0,0,0.00,136,16,(△120)
2022-12,서울,113,5340,47.26,159,6751,42.46
2022-12,부산,59,245,4.15,57,3065,53.77
2022-12,대구,230,3,(△227),251,28,(△223)
2022-12,인천,650,99,(△551),546,392,(△154)
2022-12,대전,355,15,(△340),496,147,(△349)
2022-12,울산,238,2,(△236),393,369,(△24)
2022-12,세종,101,58,(△43),89,185,2.08
2022-12,경기,2334,1644,(△690),2424,4751,1.96
2022-12,강원,262,147,(△115),348,2265,6.51
2022-12,충북,23,17,(△6),629,186,(△443)
2022-12,충남,445,14,(△431),554,266,(△288)
2022-12,전북,0,0,0.00,64,0,(△64)
2022-12,경북,626,18,(△608),829,983,1.19
2022-12,경남,1270,2259,1.78,1001,27178,27.15
2022-12,제주,0,0,0.00,77,11,(△66)
2023-01,인천,58,16,(△42),52,62,1.19
2023-01,경기,189,33,(△156),110,213,1.94
2023-01,충남,0,0,0.00,80,3,(△77)
2023-01,전북,596,18,(△578),149,133,(△16)
2023-02,서울,398,6254,15.71,377,22401,59.42
2023-02,부산,322,639,1.98,564,7328,12.99
2023-02,인천,394,83,(△311),376,450,1.20
2023-02,광주,25,0,(△25),166,43,(△123)
2023-02,경기,1437,1086,(△351),1414,3674,2.60
2023-02,충북,493,607,1.23,332,3369,10.15
2023-02,전남,27,1,(△26),45,10,(△35)
2023-02,경북,31,0,(△31),33,5,(△28)
2023-03,서울,371,5577,15.03,329,17013,51.71
2023-03,부산,1264,303,(△961),1120,2528,2.26
2023-03,인천,627,265,(△362),665,2176,3.27
2023-03,광주,454,406,(△48),639,6821,10.67
2023-03,울산,52,2,(△50),43,6,(△37)
2023-03,경기,1363,1246,(△117),1346,8630,6.41
2023-03,충북,106,1,(△105),94,33,(△61)
2023-03,충남,244,34,(△210),134,243,1.81
2023-03,전북,308,80,(△228),548,896,1.64
2023-03,경남,32,0,(△32),14,1,(△13)
2023-03,제주,0,0,0.00,66,13,(△53)
2023-04,서울,108,167,1.55,118,457,3.87
2023-04,부산,676,366,(△310),747,4601,6.16
2023-04,인천,333,16,(△317),307,271,(△36)
2023-04,광주,8,0,(△8),49,17,(△32)
2023-04,경기,2557,2463,(△94),2960,16802,5.68
2023-04,충북,1612,7178,4.45,1264,52176,41.28
2023-04,충남,0,0,0.00,60,6,(△54)
